iter	Passed	Remaining
0	2	255
1	4	237
2	6	225
3	8	208
4	10	205
5	12	199
6	14	196
7	17	196
8	19	193
9	21	190
10	23	187
11	25	185
12	27	182
13	29	179
14	31	177
15	33	174
16	35	172
17	37	169
18	38	165
19	40	161
20	42	158
21	43	155
22	45	152
23	47	149
24	48	146
25	50	143
26	52	141
27	54	139
28	56	138
29	58	135
30	59	132
31	61	130
32	63	128
33	64	125
34	66	124
35	68	122
36	70	119
37	72	117
38	73	115
39	75	113
40	77	111
41	78	107
42	79	105
43	81	103
44	83	101
45	84	99
46	86	97
47	88	95
48	90	94
49	92	92
50	94	90
51	95	88
52	97	86
53	99	84
54	100	82
55	103	81
56	105	79
57	106	77
58	109	76
59	111	74
60	113	72
61	115	70
62	116	68
63	118	66
64	120	64
65	122	62
66	123	61
67	125	59
68	127	57
69	129	55
70	131	53
71	132	51
72	134	49
73	136	48
74	138	46
75	140	44
76	142	42
77	143	40
78	145	38
79	147	36
80	148	34
81	150	33
82	152	31
83	154	29
84	156	27
85	157	25
86	159	23
87	160	21
88	162	20
89	164	18
90	166	16
91	168	14
92	169	12
93	171	10
94	172	9
95	174	7
96	176	5
97	178	3
98	179	1
99	181	0
